id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,room_type_id,location_id
17347938.0,Rental unit in Queens · ★4.98 · 3 bedrooms · 4 beds · 1 private bath,108982711,Negra,Queens,Astoria,40.75626502,-73.91593616,Private room,198.0,3,183,2024-02-03,2.22,3,170,61,OSE-STRREG-0000216,1,38
50634288.0,Hotel in New York · ★3.97 · 1 bedroom · 1 bed · 1 bath,401277068,Yotel New York,Manhattan,Hell's Kitchen,40.75862,-73.9947,Private room,131.0,1,276,2024-01-27,10.95,8,352,41,Exempt,1,29
41127989.0,Rental unit in New York · ★4.64 · Studio · 4 beds · 1 bath,321252889,Oscar & Rossanna,Manhattan,Midtown,40.7476,-73.98691,Entire home/apt,211.0,1,110,2024-01-15,2.23,5,22,20,Exempt,2,17
52749216.0,Rental unit in Brooklyn · ★4.96 · 1 bedroom · 1 bed · 1 bath,29577190,Jonathan,Brooklyn,Bedford-Stuyvesant,40.67744446,-73.92350006,Entire home/apt,175.0,4,79,2024-01-16,2.95,1,39,40,OSE-STRREG-0000076,2,9
20859561.0,Rental unit in New York City · ★4.46 · 1 bedroom · 1 bed · 1 bath,149719030,Jack & Jo,Manhattan,Lower East Side,40.721,-73.98372,Entire home/apt,110.0,30,130,2024-01-14,1.73,1,218,23,,2,36
5.98e+17,Rental unit in New York · ★4.90 · 1 bedroom · 4 beds · 1 bath,388603242,Henri,Manhattan,Midtown,40.747211,-73.987808,Entire home/apt,225.0,1,30,2024-01-09,1.62,13,138,27,Exempt,2,17
31082686.0,Rental unit in Brooklyn · ★4.33 · 2 bedrooms · 2 beds · 1 bath,105310740,Margareth,Brooklyn,Bedford-Stuyvesant,40.68512,-73.9516,Entire home/apt,84.0,30,15,2024-01-09,0.26,2,87,2,,2,9
9.89e+17,Rental unit in Brooklyn · ★4.97 · 2 bedrooms · 3 beds · 2 baths,136024214,Gabriel,Brooklyn,Cypress Hills,40.67956996,-73.89464863,Entire home/apt,175.0,1,30,2024-01-21,7.63,8,276,30,Exempt,2,26
9.42e+17,Rental unit in Brooklyn · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,39250486,Kayla,Brooklyn,Bedford-Stuyvesant,40.68443,-73.9223,Entire home/apt,192.0,2,29,2024-02-05,5.24,1,179,29,OSE-STRREG-0000403,2,9
5.82e+17,Home in BROOKLYN · ★5.0 · 1 bedroom · 1 bed · 1 bath,312697286,Steven,Brooklyn,Gravesend,40.59991083,-73.97356197,Entire home/apt,111.0,5,35,2024-02-04,1.54,3,301,17,Exempt,2,3
9.19e+17,Rental unit in Brooklyn · ★4.82 · 2 bedrooms · 3 beds · 1 bath,104851667,India,Brooklyn,Bushwick,40.70639593,-73.91922728,Entire home/apt,257.0,1,11,2024-01-26,7.17,1,89,11,OSE-STRREG-0000929,2,11
18348512.0,Rental unit in New York · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,126984603,Yuko,Manhattan,Hell's Kitchen,40.76442,-73.98888,Private room,85.0,30,75,2024-01-01,0.95,1,237,20,,1,29
6.72e+17,Townhouse in Brooklyn · ★4.94 · 4 bedrooms · 6 beds · 2.5 baths,276414944,Anthony,Brooklyn,Bedford-Stuyvesant,40.68241666,-73.95451796,Entire home/apt,317.0,30,51,2024-01-06,3.08,1,78,38,,2,9
53935712.0,Rental unit in Queens · ★4.60 · 2 bedrooms · 2 beds · 1 bath,147291440,Eve,Queens,Cambria Heights,40.70275,-73.73625,Entire home/apt,79.0,30,10,2024-01-05,0.47,2,145,8,,2,88
6.16e+17,Rental unit in Brooklyn · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,456692574,Jacqueline,Brooklyn,Bushwick,40.69424,-73.91205,Private room,140.0,2,44,2024-01-02,2.06,1,155,21,OSE-STRREG-0000687,1,11
9.94e+17,Hotel in New York · ★4.75 · 2 bedrooms · 2 beds · 1 bath,484277630,Bugra Han,Manhattan,Midtown,40.75536107,-73.98209729,Private room,165.0,2,16,2024-01-21,4.25,33,19,16,Exempt,1,17
39702571.0,Rental unit in Brooklyn · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,165136941,Silvia,Brooklyn,Bedford-Stuyvesant,40.68561,-73.94407,Private room,87.0,1,53,2024-01-14,1.03,2,93,29,Exempt,1,9
41882330.0,Rental unit in New York · ★4.73 · 2 bedrooms · 3 beds · 1 bath,331185230,Mike,Manhattan,Upper East Side,40.7749976,-73.9524568,Entire home/apt,140.0,5,41,2024-01-01,0.84,1,114,25,Exempt,2,10
29575293.0,Rental unit in Brooklyn · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,41704832,Benjamin,Brooklyn,Bushwick,40.69692,-73.9118,Private room,119.0,1,264,2024-01-29,4.33,1,54,56,OSE-STRREG-0000228,1,11
37404277.0,Rental unit in New York · ★4.74 · Studio · 2 beds · 1 bath,281974355,Maria,Manhattan,East Village,40.72683,-73.98676,Entire home/apt,198.0,30,23,2024-01-19,0.43,1,365,2,,2,34
6.79e+17,Home in Brooklyn · ★4.85 · 2 bedrooms · 3 beds · 1 bath,471508880,Chaim,Brooklyn,East Flatbush,40.65788,-73.936,Entire home/apt,199.0,1,48,2024-01-15,2.59,1,146,32,Exempt,2,39
118061.0,Rental unit in Brooklyn · ★4.81 · 2 bedrooms · 2 beds · 1 bath,2248897,Roberta,Brooklyn,Bedford-Stuyvesant,40.68462,-73.92895,Entire home/apt,130.0,30,91,2024-01-31,0.61,1,303,1,,2,9
13997552.0,Rental unit in Astoria · ★4.98 · 2 bedrooms · 3 beds · 1 private bath,108982711,Negra,Queens,Astoria,40.75622,-73.91389,Private room,159.0,3,263,2024-01-25,2.88,3,190,63,OSE-STRREG-0000240,1,38
49388478.0,Rental unit in New York · ★4.69 · Studio · 2 beds · 1 bath,204811322,Manhattan House Studios,Manhattan,Midtown,40.74789,-73.98701,Entire home/apt,120.0,2,140,2024-01-08,4.23,3,126,60,Exempt,2,17
6.39e+17,Rental unit in Brooklyn · ★4.86 · 2 bedrooms · 1.5 baths,385859541,Nerissa,Brooklyn,Bedford-Stuyvesant,40.67977,-73.90954,Entire home/apt,95.0,30,28,2024-01-01,1.39,2,99,10,,2,9
6586663.0,Rental unit in New York · ★4.65 · 1 bedroom · 1 bed · 1 bath,34453577,Chris,Manhattan,Lower East Side,40.7205,-73.98869,Entire home/apt,80.0,30,238,2024-01-10,2.27,1,53,21,,2,36
53850635.0,Rental unit in Brooklyn · ★4.98 · 1 bedroom · 3 beds · 1 bath,119673533,David,Brooklyn,Sunset Park,40.66078,-73.98929,Entire home/apt,174.0,2,120,2024-02-04,4.73,1,175,56,OSE-STRREG-0000166,2,4
48721300.0,Home in Brooklyn · ★4.98 · 2 bedrooms · 3 beds · 1 private bath,314868050,Angelo,Brooklyn,Sunset Park,40.64993,-74.00849,Private room,160.0,3,113,2024-01-02,3.47,1,128,39,OSE-STRREG-0000029,1,4
1776732.0,Rental unit in New York · ★4.79 · 2 bedrooms · 5 beds · 2 baths,7379093,Francesca,Manhattan,Upper West Side,40.78907,-73.9688,Entire home/apt,300.0,30,219,2024-01-22,2.26,3,365,24,,2,20
9.89e+17,Rental unit in Brooklyn · ★4.77 · 3 bedrooms · 3 beds · 1 bath,136024214,Gabriel,Brooklyn,Cypress Hills,40.67747,-73.89278,Entire home/apt,200.0,1,13,2024-01-15,3.2,8,223,13,Exempt,2,26
53080602.0,Guesthouse in Brooklyn · ★4.69 · 1 bedroom · 1 bed · 1 bath,429698197,Anna,Brooklyn,East Flatbush,40.64873,-73.93765,Entire home/apt,86.0,30,105,2024-01-03,3.8,1,50,31,,2,39
2298731.0,Loft in New York · ★4.77 · Studio · 1 bed · 1 bath,11741577,D.,Manhattan,Hell's Kitchen,40.75639,-73.99728,Entire home/apt,135.0,30,78,2024-01-07,0.73,1,264,6,,2,29
9.68e+17,Rental unit in New York · ★4.88 · 1 bedroom · 1 bed · 1 bath,2772230,Jase,Manhattan,Hell's Kitchen,40.75864912,-73.99881576,Entire home/apt,266.0,2,16,2024-01-19,3.04,1,69,16,Exempt,2,29
49387570.0,Rental unit in New York · ★4.77 · 1 bedroom · 2 beds · 1 bath,397538297,Victor,Manhattan,Chelsea,40.74941,-73.99796,Entire home/apt,179.0,3,159,2024-01-21,4.76,1,114,57,Exempt,2,30
32857674.0,Rental unit in Brooklyn · ★4.72 · Studio · 1 bed · 1 bath,242924411,James And Laureta,Brooklyn,Bedford-Stuyvesant,40.68355,-73.95401,Entire home/apt,100.0,1,260,2024-01-16,4.41,7,117,61,Exempt,2,9
6.7e+17,Rental unit in Brooklyn · ★4.89 · Studio · 1 bed · 1 bath,402187116,James&Laureta,Brooklyn,Bedford-Stuyvesant,40.68343,-73.94103,Entire home/apt,112.0,1,81,2024-01-21,4.3,6,94,53,Exempt,2,9
32845516.0,Rental unit in Brooklyn · ★4.83 · 1 bedroom · 1 bed · 1 bath,242924411,James And Laureta,Brooklyn,Bedford-Stuyvesant,40.68567,-73.95318,Entire home/apt,112.0,1,244,2024-01-21,4.14,7,89,54,Exempt,2,9
9.66e+17,Rental unit in Brooklyn · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,217844544,Mia,Brooklyn,Bushwick,40.69230921,-73.92544141,Private room,119.0,5,15,2024-02-02,3.69,2,84,15,Exempt,1,11
52799338.0,Home in Bronx · ★4.95 · 2 bedrooms · 4 beds · 1 bath,422296685,Lesvia,Bronx,Kingsbridge,40.86452,-73.90408,Entire home/apt,105.0,30,57,2024-01-19,2.06,1,363,18,,2,102
50636537.0,Hotel in New York · ★4.46 · Studio · 2 beds · 1 private bath,38592279,Vk,Manhattan,Hell's Kitchen,40.75478,-73.99365,Private room,167.0,1,26,2024-01-06,0.97,18,62,17,Exempt,1,29
6.85e+17,Rental unit in Brooklyn · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,447103289,Alexandra,Brooklyn,Bedford-Stuyvesant,40.68301,-73.91388,Private room,20.0,30,48,2024-01-06,3.1,3,365,39,,1,9
1e+18,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 bath,3818314,Levi,Brooklyn,Brownsville,40.67238052,-73.91208131,Entire home/apt,136.0,1,25,2024-02-03,6.76,3,325,25,Exempt,2,42
6.77e+17,Serviced apartment in Brooklyn · ★4.89 · 2 bedrooms · 4 beds · 1 bath,470975288,Derwin,Brooklyn,Brownsville,40.67052071,-73.91545523,Entire home/apt,174.0,1,18,2024-01-27,1.7,1,305,18,OSE-STRREG-0000103,2,42
8.13e+17,Rental unit in New York · ★4.88 · 1 bedroom · 2 beds · 1 bath,497802176,Lucineia,Manhattan,Chelsea,40.74908107,-73.99676682,Entire home/apt,239.0,1,57,2024-01-19,4.76,1,197,57,Exempt,2,30
50288716.0,Hotel in New York · ★4.54 · Studio · 2 beds · 1 private bath,38592279,Vk,Manhattan,Hell's Kitchen,40.75474,-73.99436,Private room,177.0,1,35,2024-01-29,1.08,18,26,14,Exempt,1,29
6.85e+17,Rental unit in New York · ★4.95 · 1 bedroom · 2 beds · 1 bath,435994605,Taz Yin,Manhattan,Chelsea,40.74697,-73.9909,Entire home/apt,223.0,5,19,2024-01-04,1.06,1,24,14,Exempt,2,30
14661553.0,Home in Brooklyn · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,515095,Mei,Brooklyn,Carroll Gardens,40.67978569,-73.99926761,Private room,150.0,3,155,2024-01-03,1.74,2,242,20,OSE-STRREG-0000454,1,46
5.99e+17,Rental unit in Brooklyn · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,453101466,Rachel,Brooklyn,Bedford-Stuyvesant,40.68119,-73.91066,Private room,129.0,3,52,2024-01-07,2.41,1,134,30,OSE-STRREG-0000842,1,9
6.5e+17,Boutique hotel in Long Island City · ★4.66 · Studio · 1 bed · 1 bath,219517861,Sonder (NYC),Queens,Long Island City,40.75222,-73.93587,Private room,162.0,2,32,2024-01-08,1.63,84,331,9,Exempt,1,51
5.61e+17,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,37875894,Ania,Manhattan,Upper West Side,40.80269,-73.9677,Private room,230.0,3,43,2024-01-02,1.8,1,98,19,OSE-STRREG-0000577,1,20
27637065.0,Guest suite in Brooklyn · ★4.91 · 1 bedroom · 1 bed · 1 bath,13462855,Travis,Brooklyn,Bedford-Stuyvesant,40.67992,-73.93789,Entire home/apt,202.0,5,210,2024-02-02,3.18,4,126,50,OSE-STRREG-0000531,2,9
10386341.0,Townhouse in Brooklyn · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,53468381,Jeremy,Brooklyn,Bedford-Stuyvesant,40.69493,-73.94314,Shared room,75.0,2,438,2024-01-21,4.46,1,108,62,OSE-STRREG-0000171,3,9
49906500.0,Rental unit in New York · ★4.90 · Studio · 1 bed · 1 bath,61391963,Stay With Vibe,Manhattan,Midtown,40.76116,-73.96911,Entire home/apt,123.0,30,10,2024-01-20,0.38,130,349,4,,2,17
1.02e+18,Home in Great Neck · ★5.0 · 1 bedroom · 1 bed · 1 bath,45600001,Amy,Queens,Little Neck,40.77152196,-73.73307445,Private room,68.0,1,11,2024-01-16,4.4,9,62,11,,1,156
6.41e+17,Home in New York · ★5.0 · 4 bedrooms · 5 beds · 3 baths,229603136,Paris,Manhattan,Midtown,40.75101908,-73.96945185,Entire home/apt,618.0,3,27,2024-01-22,4.07,1,263,27,Exempt,2,17
8.14e+17,Hotel in New York · ★4.82 · 1 bedroom · 2 beds · 2 baths,231281049,The Manhattan Club,Manhattan,Midtown,40.7639769,-73.98029217,Private room,327.0,1,11,2024-01-07,1.07,10,332,11,Exempt,1,17
5.65e+17,Home in Bronx · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,436672443,Carmen,Bronx,Edenwald,40.88855,-73.84011,Private room,54.0,30,37,2024-02-02,1.57,1,157,20,,1,157
46601386.0,Home in Queens · ★4.75 · 1 bedroom,342323079,Cathy,Queens,Forest Hills,40.71569,-73.85379,Private room,109.0,1,150,2024-02-02,3.9,1,193,38,OSE-STRREG-0001084,1,86
35545194.0,Boutique hotel in Queens · ★4.35 · 1 bedroom · 1 bed · 1 private bath,263916265,The Parc Hotel,Queens,Flushing,40.75845,-73.8347,Private room,132.0,1,34,2024-01-14,0.72,1,356,21,Exempt,1,62
29509877.0,Rental unit in New York · ★4.25 · Studio · 3 beds · 1 bath,211549023,Studioplus,Manhattan,Midtown,40.74721,-73.98795,Entire home/apt,172.0,2,118,2024-01-21,1.91,21,256,32,Exempt,2,17
42502510.0,Rental unit in Brooklyn · ★4.87 · 1 bedroom · 2 beds · 1 bath,316423586,Tami,Brooklyn,Bedford-Stuyvesant,40.69099,-73.92603,Entire home/apt,100.0,30,15,2024-01-02,1.62,2,169,15,,2,9
27529655.0,Home in Flushing  · ★4.88 · 1 bedroom · 1 bed · 1 private bath,205745676,Liqin,Queens,Flushing,40.75792,-73.8193,Private room,112.0,1,138,2024-01-21,2.06,6,355,51,Exempt,1,62
50976699.0,Bed and breakfast in New York · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,280253653,Raquel,Manhattan,East Harlem,40.79289,-73.95168,Private room,60.0,30,170,2024-01-14,5.44,1,147,47,,1,56
7.85e+17,Rental unit in New York · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,37058836,Andrew,Manhattan,East Harlem,40.79148197,-73.94834578,Private room,146.0,1,46,2024-01-28,3.43,1,201,44,OSE-STRREG-0000109,1,56
7.66e+17,Home in Brooklyn · ★4.89 · 1 bedroom · 2 beds · 1.5 baths,59459809,Yolanda,Brooklyn,Sunset Park,40.64724391,-74.01797413,Entire home/apt,151.0,2,56,2024-01-28,3.83,1,88,45,OSE-STRREG-0000560,2,4
310524.0,Condo in Brooklyn · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,1597481,Mary,Brooklyn,Bedford-Stuyvesant,40.69533,-73.96058,Private room,150.0,2,100,2024-01-02,0.69,1,112,43,OSE-STRREG-0000175,1,9
1.03e+18,Rental unit in New York · ★4.92 · 3 bedrooms · 3 beds · 1 bath,501031533,Raimondo,Manhattan,Chelsea,40.7511,-73.99657,Entire home/apt,477.0,2,13,2024-02-03,5.27,1,300,13,Exempt,2,30
37729855.0,Hotel in New York · ★4.92 · 1 bedroom · 2 beds · 2 baths,28656622,Elisa,Manhattan,Midtown,40.76259,-73.97507,Private room,1282.0,1,13,2024-01-01,0.25,4,364,1,Exempt,1,17
53222519.0,Condo in Brooklyn · ★5.0 · 2 bedrooms · 2 beds · 2 baths,120821933,Felix,Brooklyn,Bushwick,40.68949,-73.91286,Private room,255.0,6,71,2024-01-14,2.81,1,287,31,OSE-STRREG-0000255,1,11
7698722.0,Townhouse in Brooklyn · ★4.70 · 2 bedrooms · 3 beds · 1 bath,31919780,Neil,Brooklyn,Bedford-Stuyvesant,40.68623,-73.94041,Entire home/apt,119.0,30,225,2024-01-10,2.33,2,36,29,,2,9
6.66e+17,Rental unit in Queens · ★4.75 · 1 bedroom · 1 bed · 1 bath,468146584,Dorit,Queens,Flushing,40.7273527,-73.8106833,Entire home/apt,65.0,30,57,2024-01-03,2.98,1,257,35,,2,62
9.81e+17,Rental unit in New York · ★4.83 · 3 bedrooms · 4 beds · 2 baths,15310980,Carolina,Manhattan,Chelsea,40.74631415,-73.9922239,Entire home/apt,608.0,2,29,2024-02-04,6.04,1,295,29,Exempt,2,30
47396746.0,Rental unit in New York · ★4.65 · Studio · 2 beds · 1 bath,382617662,Jake,Manhattan,Midtown,40.74768,-73.98693,Entire home/apt,130.0,1,187,2024-01-20,5.02,6,61,49,Exempt,2,17
